route_id,origin_city,origin_state,destination_city,destination_state,typical_distance_miles,base_rate_per_mile,fuel_surcharge_rate,typical_transit_days,ingestion_timestamp
RTE00022,Houston,TX,Memphis,TN,557.0,1.95,0.29,1,2026-08-26 08:07:41.139174
RTE00030,Seattle,WA,Indianapolis,IN,2147.0,2.48,0.33,3,2026-08-26 08:07:41.139174
RTE00034,Portland,OR,Columbus,OH,2332.0,2.12,0.34,4,2026-08-26 08:07:41.139174
RTE00035,Las Vegas,NV,Dallas,TX,1229.0,1.69,0.28,2,2026-08-26 08:07:41.139174
RTE00058,Kansas City,MO,Indianapolis,IN,519.0,2.27,0.19,1,2026-08-26 08:07:41.139174
RTE00006,Chicago,IL,Charlotte,NC,675.0,2.13,0.28,1,2026-08-26 08:07:41.139174
RTE00007,Dallas,TX,New York,NY,1576.0,2.54,0.32,2,2026-08-26 08:07:41.139174
RTE00017,Philadelphia,PA,Minneapolis,MN,1130.0,1.81,0.34,1,2026-08-26 08:07:41.139174
RTE00028,Seattle,WA,Houston,TX,2172.0,1.89,0.26,3,2026-08-26 08:07:41.139174
RTE00040,Minneapolis,MN,Los Angeles,CA,1749.0,2.38,0.3,3,2026-08-26 08:07:41.139174
RTE00045,Charlotte,NC,Memphis,TN,597.0,2.33,0.23,1,2026-08-26 08:07:41.139174
